strategy	structured_mean	structured_pospct	null	trend_up	trend_dn	mean_rev	worst
mean_reversion	0.3472	0.6333	0.0542	0.0574	0.0209	1.1260	0.0209
rul07_reversible_echo_fade	0.3148	0.6833	0.1969	0.1819	0.1835	1.1699	0.1819
ou_half_life	0.2854	0.6000	0.2744	0.2917	0.2286	1.1590	0.2286
cca_phase	0.2016	0.6333	-0.1548	-0.1188	-0.1163	0.8398	-0.1188
cca_wavefront	0.1435	0.5500	0.2666	0.3993	0.1883	0.6428	0.1883
rule184_jam	0.0975	0.6000	-0.0832	-0.1462	-0.1028	0.5414	-0.1462
rule110_structure_polarity	0.0475	0.5167	-0.0181	0.2588	-0.2562	0.1399	-0.2562
multiway_branch	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
tag2_transient_fade	-0.0156	0.7000	0.3832	0.3431	0.1452	0.6144	0.1452
multiway_branchial	-0.0177	0.5167	0.0996	0.1501	0.3013	-0.2057	-0.2057
rule184_flow	-0.0186	0.5500	-0.1151	-0.0294	-0.1708	0.1443	-0.1708
connors_rsi2	-0.0478	0.0167	0.0000	0.0640	-0.0045	-0.2028	-0.2028
ca3_totalistic_center	-0.1501	0.4000	-0.0675	0.0345	-0.0767	-0.4080	-0.4080
lz76_irreducibility_gate	-0.1853	0.4500	-0.0500	0.0080	0.1665	-0.7302	-0.7302
net_connectivity	-0.1864	0.4833	0.0291	0.0619	0.0381	-0.5718	-0.5718
wolfram_class_regime	-0.2179	0.4167	0.1371	0.2303	0.3282	-0.8009	-0.8009
fibonacci_word_flow	-0.2593	0.4333	-0.3290	-0.2996	-0.3477	-0.1307	-0.3477
dfa_hurst	-0.2663	0.4667	-0.0169	-0.0607	-0.0036	-0.7344	-0.7344
regime_adaptive	-0.2873	0.4000	0.1709	0.1630	0.2048	-0.7170	-0.7170
rule90_xor_echo	-0.3190	0.4333	-0.3192	-0.3218	-0.5336	-0.1017	-0.5336
rul07_reversible_parity_echo	-0.3222	0.3500	-0.4603	-0.3624	-0.3029	-0.3013	-0.3624
rule110_glider_momentum	-0.3448	0.4333	0.0617	0.1013	0.0420	-0.9927	-0.9927
wolfram_class_ensemble	-0.3668	0.4667	0.3012	0.4467	0.5527	-1.1962	-1.1962
eca_rulefit_ensemble	-0.3699	0.3667	-0.3367	-0.2352	-0.3849	-0.4895	-0.4895
spectral_cycle	-0.3948	0.5333	-0.4187	-0.4143	-0.3880	-0.3823	-0.4143
thue_morse_phase	-0.4343	0.3667	-0.3688	-0.4549	-0.3093	-0.5388	-0.5388
eca_rulefit	-0.4519	0.3000	-0.3526	-0.3424	-0.4343	-0.5791	-0.5791
rule90_fractal_trend	-0.4522	0.3667	-0.0168	-0.0665	0.0201	-1.3101	-1.3101
net_clustering	-0.4821	0.4000	-0.2882	-0.2808	-0.2460	-0.9194	-0.9194
turing_drift	-0.4894	0.4000	-0.4016	-0.4112	-0.4053	-0.6518	-0.6518
rul232_coarsen	-0.5237	0.3667	-0.3783	-0.3454	-0.4124	-0.8134	-0.8134
rul232_consensus	-0.5306	0.3500	-0.4146	-0.4102	-0.4304	-0.7511	-0.7511
squeeze_breakout	-0.5379	0.3000	-0.0907	-0.0372	-0.2736	-1.3029	-1.3029
mobile_drift	-0.5559	0.3833	-0.4072	-0.4844	-0.3845	-0.7990	-0.7990
perm_entropy_trend	-0.5584	0.3167	-0.2550	-0.2213	-0.1332	-1.3207	-1.3207
tag2_halt_trend	-0.5589	0.2833	-0.5486	-0.5417	-0.3423	-0.7927	-0.7927
lenia_growth	-0.5760	0.3167	-0.3441	-0.3292	-0.3258	-1.0729	-1.0729
rule30_entropy_gate	-0.5811	0.2500	-0.3851	-0.5394	-0.1945	-1.0092	-1.0092
class_transition	-0.6017	0.3000	-0.5039	-0.5043	-0.3608	-0.9400	-0.9400
mobile_escape	-0.6078	0.3167	-0.5050	-0.4013	-0.5643	-0.8577	-0.8577
turing_regime	-0.6135	0.3000	-0.3502	-0.3274	-0.4237	-1.0894	-1.0894
ca3_totalistic_drift	-0.6292	0.2833	-0.7924	-0.8447	-0.6068	-0.4361	-0.8447
kama_trend	-0.6559	0.3500	-0.2984	-0.3610	-0.2823	-1.3243	-1.3243
class_transition_impulse	-0.6746	0.3333	-0.5081	-0.4608	-0.4121	-1.1508	-1.1508
breakout	-0.6792	0.3167	-0.3878	-0.4424	-0.5128	-1.0823	-1.0823
rule30_entropy_margin	-0.6821	0.2667	-0.5014	-0.5549	-0.3915	-1.0999	-1.0999
ruliad_vote	-0.6911	0.3167	-0.5861	-0.5443	-0.5030	-1.0261	-1.0261
lz76_reducibility_scale	-0.7033	0.2833	-0.7422	-0.6167	-0.6504	-0.8428	-0.8428
skew_tilt_tsmom	-0.7071	0.3000	-0.4784	-0.3801	-0.4550	-1.2861	-1.2861
ruliad_softmax	-0.7618	0.2667	-0.6585	-0.6926	-0.5867	-1.0062	-1.0062
vol_target_momentum	-0.7695	0.2500	-0.6268	-0.5538	-0.4504	-1.3042	-1.3042
momentum	-0.7791	0.2500	-0.5947	-0.5236	-0.4265	-1.3873	-1.3873
macd_histogram	-0.7963	0.2667	-0.6620	-0.6628	-0.6769	-1.0492	-1.0492
lenia_field	-0.9412	0.2667	-0.6843	-0.6771	-0.6694	-1.4772	-1.4772
